"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Gänsespiel",,,,"2012",,"Sport Spiele Präsenzspiel",,,,,
"Stadtbibliothek Chemnitz","Yedo",,,"Vande Gingste, Thomas","2012",,"Games Yedo",,,,,
"Stadtbibliothek Chemnitz","Was ist da los? soziale Kompetenz",,,"Haferkamp, Kai","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Spielhaus die spannende Bilderjagd durch die Zimmer bis zum Dach",,,"Obrist, Jörg","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das versunkene Logik-Land Finde die Orte und löse die Aufgaben!",,,"Blum, Ulrich","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wettstreit im Hexenwald das magische Sammel- und Brauspiel",,,"Blum, Ulrich","2012",,"Rot Spiele Wett",,,,,
"Stadtbibliothek Chemnitz","Pferde & Ponys Das lustige Wissensspiel",,,"Haferkamp, Kai","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Rory`s Story Cubes MAX Geschichtenwürfel",,,"O'Connor, Rory","2012",,"Rot Spiele Story",,,,,
"Stadtbibliothek Chemnitz","Jungle Speed Sei schnell!",,,"Vuarchex, Thomas","2012",,"Rot Spiele Jungle",,,,,
"Stadtbibliothek Chemnitz","Pit, such mit! Das Puzzlespiel für 2-4 kleine Sürnasen",,,"Teubner, Marco","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","A weekend in New York spielend die Stadt entdecken und Englisch lernen ; ein Sprach- und Reisespiel ; Texte B1 bis C2",,,"Sharp, Inez","2012",,"210 G 211 Wee",,,,,
"Stadtbibliothek Chemnitz","Der verzauberte Turm",,,"Brand, Inka","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Pim Pam Pet Revanche Ein Stadt Land Fluss Spiel",,,,"2012",,"Games PimPam",,,,,
"Stadtbibliothek Chemnitz","Auf der Flucht Krimi-Kartenspiel für zwei Ermittler",,,"Klein, Sonja","2012",,"Games Aufder",,,,,
"Stadtbibliothek Chemnitz","Konsensus 2 Köpfe - 1 Gedanke",,,,"2012",,"Games Konsens",,,,,
"Stadtbibliothek Chemnitz","Pro & Contra Alles hat zwei Seiten!",,,"Walch, Helmut","2012",,"Blau Spiele Pro",,,,,
"Stadtbibliothek Chemnitz","Tödliches Alpenglühen Eine mysteriöse und amüsante Mörderjagd",,,"Fux, Christiane","2012",,"Games Tödliches",,,,,
"Stadtbibliothek Chemnitz","Activity professional! ""Der Apfel fällt nicht weit vom Stamm""",,,,"2012",,"Games Activ",,,,,
"Stadtbibliothek Chemnitz","Ratespaß auf Reisen Das Wissensquiz gegen Langeweile",,,"Hofstätter, Ronald","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kipp X",,,"Marold, Torsten","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Caro Das Strategiespiel für die ganze Familie",,,"Krebs, Annedore","2012",,"Blau Spiele Caro",,,,,
"Stadtbibliothek Chemnitz","Hanabi",,,"Bauza, Antoine","2012",,"Rot Spiele Hanabi",,,,,
"Stadtbibliothek Chemnitz","Völkerschlacht bei Leipzig 1813 ein Skatspiel",,,,"2012",,"Ter D 33.1 Leipzig Völ",,,,,
"Stadtbibliothek Chemnitz","Fädelspiel - Auf dem Land",,,"Neundorfer, Jutta","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mimikri",,,"Pokornik, Brigitte","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Find Monty",,,"Hetling, Karin","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Sunflower Garten",,,"Kummer, Susanne","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Flori Colori",,,"Punke, Helmut","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Sissi Schaf",,,"Kummer, Susanne","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Rondo",,,"Knizia, Reiner W.","2012",,"Rot Spiele Rondo",,,,,
"Stadtbibliothek Chemnitz","Madagascar Catan Junior",,,"Teubner, Klaus","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Memo Essen",,,"Hermouet, Véronique","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Alles was fährt von ganz langsam bis ganz schnell",,,"Rüttinger, Michael","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Move & Twist",,,"Wallner, Kerstin","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Flieg mit, kleine Eule!",,,"McKinley Ross, Susan","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Länder Europas ein europaweites Wissenspiel",,,"Nikisch, Markus","2012",,"Rot Spiele Länder",,,,,
"Stadtbibliothek Chemnitz","Dominion Dark Ages [6. Erweiterung]",,,"Vaccarino, Donald X.","2012",,"Games Domin",,,,,
"Stadtbibliothek Chemnitz","Das lustige Tietz-Unterhaltungsspiel",,,"Tietz (Chemnitz)","[2012]",,"2H 5573",,,,,
"Stadtbibliothek Chemnitz","Kreuz & Quer Viele Wege führen zum Sieg!",,,"Knizia, Reiner","2012",,"Rot Spiele Kreuz",,,,,
"Stadtbibliothek Chemnitz","Der grosse Wurf Mit Geschick und glück zum Sieg!",,,"Nüßle, Dieter","2012",,"Rot Spiele Grosse",,,,,
"Stadtbibliothek Chemnitz","Lakota Finde die Lücke, baue die Brücke",,,"Proux, Philippe","2012",,"Rot Spiele Lakot",,,,,
"Stadtbibliothek Chemnitz","Klaus die Maus entdeckt den Wald",,,"Wrede, Anja","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Colorio einfach, schnell und farbenfroh",,,"Bonnet, Jacky","2012",,"Rot Spiele Colori",,,,,
"Stadtbibliothek Chemnitz","Hier wohne ich Das Sprachspiel rund um mein Zuhause",,,"Rühmer, Yo","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Big-Bobby-Car Sicher im Verkehr",,,,"2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Allgemein-Wissen für Kinder Grundwissen für Kinder ab 6 Jahren",,,"Rüttinger, Michael","2012",,"Rot Spiele Allge",,,,,
"Stadtbibliothek Chemnitz","Baobab ein unterhaltsames Geschicklichkeitsspiel",,,"Allué, Josep Maria","c2012",,"Rot Spiele Baobab",,,,,
"Stadtbibliothek Chemnitz","Black stories - Sex and Crime Edition 50 rabenschwarze Rätsel rund um Liebe, Lust und Leidenschaft",,,"Berger, Nicola","2012",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Qwirkle Würfeln, kombinieren und gewinnen",,,"McKinley Ross, Susan","2012",,"Rot Spiele Qwirk",,,,,
"Stadtbibliothek Chemnitz","Star Wars Anakins Podrace",,,"Dochtermann, Sandra","2012",,"Rot Spiele Star",,,,,
"Stadtbibliothek Chemnitz","Spinnengift und Krötenschleim Was kommt in den Kessel rein?",,,"Teuber, Klaus","2012",,"Rot Spiele Spinne",,,,,
"Stadtbibliothek Chemnitz","Liliput",,,"Knizia, Reiner","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Sprich und Spiel mit Bello Freche Fingerspiele und Bildgeschichten",,,"Senner, Katja","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mix Fix",,,"Lawson, Andrew","c2012",,"Rot Spiele MixFi",,,,,
"Stadtbibliothek Chemnitz","Logix Das absolut logische Denkspiel",,,"Wächter, Linda","2012",,"Rot Spiele Logix",,,,,
"Stadtbibliothek Chemnitz","Alles was fliegt Was fliegt niedrig? Was fliegt hoch?",,,"Rüttinger, Michael","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Alles was fährtt von ganz langsam bis ganz schnell",,,"Rüttinger, Michael","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ubongo Junior schnell - einfach - Ubongo!",,,"Rejchtman, Grzegorz","2012",,"Rot Spiele Ubongo",,,,,
"Stadtbibliothek Chemnitz","Was passt wohin? Sortieren, zuordnen und richtig platzieren",,,"Silveira, Gsabriela","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Waka Waka ... Heisse Märkte Coole Händler ...",,,"Dorn, Rüdiger","2012",,"Blau Spiele Waka",,,,,
"Stadtbibliothek Chemnitz","Captain Kidd",,,"Lange, Angelika","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Stühle stapeln XXL",,,,"2012",,"Sport Spiele G 290 Stü",,,,,
"Stadtbibliothek Chemnitz","Der Maulwurf schaut genau",,,"Hurter, Britta","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Meine Farben und Formen Rund und eckig - rot, gelb, blau",,,"Völker, Kerstin","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mausgetrixt",,,"Hetling, Karin","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Reflexx!",,,"Brown, Peggy","c2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Quiz Taxi",,,"Rüttinger, Michael","2012",,"Games Quiz",,,,,
"Stadtbibliothek Chemnitz","Komm mit in Millys Lernzoo",,,"Friedrich, Gerhard","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Lese-Schatz Buchstaben und Wörter entdecken ; piratenfreches Mau-Mau, 1./2. Klasse",,,"Knobloch, Isolde ¬von","2012",,"Rot Spiele Lese",,,,,
"Stadtbibliothek Chemnitz","Flossen hoch!",,,"Grein-Böttcher, Edith","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Vegas Zocken bis zum letzten Würfel!",,,"Dorn, Rüdiger","2012",,"Blau Spiele Vegas",,,,,
"Stadtbibliothek Chemnitz","Zirkus Stapelix Schau und bau - ganz genau!",,,"Bos, Liesbeth","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Targi Hitziges Spiel für Zwei um Datteln, Salz und Pfeffer",,,"Steiger, Andreas","2012",,"Blau Spiele Targi",,,,,
"Stadtbibliothek Chemnitz","Die kleinen Drachenritter Hoch zum Drachen, Beute machen!",,,"Teubner, Marco","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monsterquatsch Sprachkompetenz ; Fit für den Einschulungstest",,,"Haferkamp, Kai","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Märchenmemo",,,"Bohnstedt, Antje","2012",,"Sport Spiele BF Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","UNO junior",,,,"2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Flinker Willi A wie Anna, Arzt und Ameisenbär- schnell Begriffe finden ist nicht schwer!",,,"Meister, Heinz","2012",,"Rot Spiele Flink",,,,,
"Stadtbibliothek Chemnitz","Eiskalt erwischt! ... ein waghalsiges Schnippspiel!",,,"Meister, Heinz","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Burg Klettermax",,,"Baars, Gunter","2012",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Uno get wild 4 Uno",,,,"[2012] © 2012",,"Rot Spiele Uno",,,,,
"Stadtbibliothek Chemnitz","Mammut Mambo Weck den Urmensch in Dir!",,,"Fraga, Roberto","2011",,"Games Mammut",,,,,
"Stadtbibliothek Chemnitz","Anlaute erkennen: Vokale A, E, I, O, U, Au, Eu, Ei",,,"Boretzki, Anja","[2011] © 2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Tohu Wabohu Berühmt berücktigt!",,,"Steinstätter, Laufriedo","2011",,"Games Tohu",,,,,
"Stadtbibliothek Chemnitz","Carré Baue mit Tücke, aber meide die Lücke!",,,"Kralicek, Günther","2011",,"Rot Spiele Carré",,,,,
"Stadtbibliothek Chemnitz","Mastermind wer knackt den geheimen Farbcode?",,,,"[2011] [2011] © 2011",,"Blau Spiele Mas",,,,,
"Stadtbibliothek Chemnitz","Monopoly das berühmte Spiel um den großen Deal",,,,"2011",,"Rot Spiele Mono",,,,,
"Stadtbibliothek Chemnitz","Super Farmer [Züchte Tiere, vergrößere die Herde, vermehre deinen Gewinn!]",,,"Borsuk, Karol","2011",,"Rot Spiele Super",,,,,
"Stadtbibliothek Chemnitz","Der Eiserne Thron das Brettspiel ; zweite Edition",,,"Martin's, George R. R.","2011",,"G 211 Mar",,,,,
"Stadtbibliothek Chemnitz","Rommé extra große Zeichen ; franz. Bild",,,,"2011",,"Blau Spiele Rommé",,,,,
"Stadtbibliothek Chemnitz","Ein Wochenende in Berlin Spielend die Stadt entdecken und Deutsch lernen",,,"Kerbel, Barbara","2011",,"I 148 Woc",,,,,
"Stadtbibliothek Chemnitz","Aktivierungsquartett das Würfelspiel mit Karten",,,"Neis, Susanne","[2011] © 2011",,"G 260 Nei",,,,,
"Stadtbibliothek Chemnitz","52 Ideen für kleine Naturforscher",,,"Gordon, Lynn","2011",,"K0.3.2.1/ 73",,,,,
"Stadtbibliothek Chemnitz","7wonders",,,"Bauza, Antoine","2011",,"Games 7Wond",,,,,
"Stadtbibliothek Chemnitz","Spaß am Rechnen Spielend addieren und subtrahieren im Zahlenraum bis 20!",,,"Rüttinger, Michael","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schneck Schneck einmal hin und einmal weg ...",,,"Kohn, Inon","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Formenkobold",,,"Teubner, Marco","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schlängeln",,,"Hanneforth, Dirk","[2011]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","In Deutschland unterwegs [Das große Reise- und Wissenspiel]",,,"Pleesz, Michael","2011",,"Rot Spiele In",,,,,
"Stadtbibliothek Chemnitz","Eselsbrücke der Spaß mit der Gedächtnislücke!",,,"Dorra, Stefan","[2011]",,"Rot Spiele Esels",,,,,
"Stadtbibliothek Chemnitz","Wo ist mein Futter?",,,"Schüpper, Helene","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bären-Spiel Ein spannendes Waldabenteuer",,,"Bücken, Hajo","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Grüffelo das mäusestarke Memo-Spiel",,,"Donaldson, Julia","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Twister das verrückte Spiel mit Verknotungsgefahr",,,,"2011",,"Rot Spiele Twist",,,,,
"Stadtbibliothek Chemnitz","Zicke Zacke Hühnerkacke ein rasantes Gedächtnisrennen",,,"Zoch, Klaus","2011",,"Sport Spiele Spiel I G Zic",,,,,
"Stadtbibliothek Chemnitz","Das Elektronik - Labyrinth lüfte das Geheimnis des magischen Buches und rette den Zauberer! ; Brettspiel + Elektronik",,,"Knizia, Reiner","2011",,"Games Elekt",,,,,
"Stadtbibliothek Chemnitz","Nobody is perfect kompakt wer besser spinnt, gewinnt! ; mit über 450 neuen Begriffen",,,"Brück, Stefan","2011",,"Games Nobody Blau Spiele Nobody",,,,,
"Stadtbibliothek Chemnitz","Lancaster",,,"Cramer, Matthias","c2011",,"Games Lanca",,,,,
"Stadtbibliothek Chemnitz","Der Wortwal Wr fndt gnz schnll pssnd Bchstbn?",,,"Galonska, Susanne","2011",,"Rot Spiele Wort",,,,,
"Stadtbibliothek Chemnitz","Zatre",,,"Schüling, Manfred","[2011]",,"Blau Spiele Zatre",,,,,
"Stadtbibliothek Chemnitz","Kingdom Builder Spiel des Jahres 2012",,,"Vaccarino, Donald X.","2011",,"Blau Spiel Kingdo Games Kingdom",,,,,
"Stadtbibliothek Chemnitz","Monopoly das berühmte Spiel um den großen Deal [Schnelleres Spiel mit Tempo-Würfel]",,,,"2011",,"Games Monopoly Rot Spiele Monop",,,,,
"Stadtbibliothek Chemnitz","Monopoly Junior Party",,,,"2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schach mit extra großen Spielfiguren aus Holz",,,,"[2011]",,"G 220 Schac",,,,,
"Stadtbibliothek Chemnitz","Economy Schach",,,,"[2011]",,"G 220 Eco",,,,,
"Stadtbibliothek Chemnitz","Booray! der Kartenhit aus Louisiana",,,,"2011",,"G 213 Boo",,,,,
"Stadtbibliothek Chemnitz","Qwirkle einfach begonnen - schnell gewonnen!",,,"McKinley Ross, Susan","2011",,"Rot Spiele Qwir",,,,,
"Stadtbibliothek Chemnitz","Logo - Das große Spiel der Marken Wie gut kennst du dich mit Marken aus? ; mit 1600 Quizfragen",,,,"[2011]",,"G 212 Log",,,,,
"Stadtbibliothek Chemnitz","Finito! easyplay",,,"Kommerell, Hartmut","[2011]",,"Rot Spiele Finito",,,,,
"Stadtbibliothek Chemnitz","Memory Rekorde im Tierreich ; der weltbekannte Klassiker in einer neuen Dimension",,,"Landsvogt, Torsten","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz",,,,,"2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Berufe Memory Wer arbeitet wo?",,,"Rörig, Sonja","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Burst der schräge Tanz um den Vulkan",,,"Rivaldi, Jean","2011",,"Games Burst",,,,,
"Stadtbibliothek Chemnitz","Good friends?",,,"Tarrade, Jean","2011",,"Games Good",,,,,
"Stadtbibliothek Chemnitz","Dreck am Stecken Krimi-Kartenspiel für clevere Ganoven",,,"Breuer, Stefan","2011",,"Games Dreck",,,,,
"Stadtbibliothek Chemnitz","Linq Begriffe nennen, Partner erkennen ; Partyspiel",,,"Meyer, Andrea","2011",,"Games Linq",,,,,
"Stadtbibliothek Chemnitz","Tabu das schnelle Spiel ums richtige Wort! ; Erwachsene",,,,"2011",,"Games Tabu",,,,,
"Stadtbibliothek Chemnitz","Was klotzt Du? 1 Kotz sagt mehr als 1000 Worte",,,"Brand, Inka","2011",,"Games WasKl",,,,,
"Stadtbibliothek Chemnitz","Yes & No Das Spiel der verbotenen und erlaubten Wörter",,,"Rüttinger, Michael","2011",,"Games Yes Blau Spiele Yes",,,,,
"Stadtbibliothek Chemnitz","Activity Lifestyle",,,"Catty, Paul","2011",,"Games Activ",,,,,
"Stadtbibliothek Chemnitz","Dominion 5. Erweiterung: Hinterland",,,"Vaccarino, Donald X.","2011",,"Games Domin",,,,,
"Stadtbibliothek Chemnitz","Black stories - funny death edition 50 rabenschwarze Rätsel rund um die skurrilsten realen Todesfälle",,,"Harder, Corinna","2011",,"Kriminalfälle Black/1",,,,,
"Stadtbibliothek Chemnitz","4 gewinnt das Original ; Nimm's überallhin Mit! ; Kleine Spiele grosser Spass",,,,"c 2011",,"Rot Spiele 4",,,,,
"Stadtbibliothek Chemnitz","Der Grüffelo das mäusestarke Memo-Spiel",,,"Donaldson, Julia","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Voll in Fahrt",,,"Lindner, Bob","[2011]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Würfelwichtel",,,"Bamberger, Hannes","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Da ist der Wurm drin",,,"Kleinert, Carmen","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Legende von Skull & Roses the bikers' game",,,"Marly, Hervé","2011",,"Blau Spiele Legen Games Legen",,,,,
"Stadtbibliothek Chemnitz","Offboard die neue Abalone Herausforderung",,,"Lalet, Michel","2011",,"Games Offbo",,,,,
"Stadtbibliothek Chemnitz","BITS bringt die Farben in Form",,,"Knizia, Reiner","2011",,"Games Bits",,,,,
"Stadtbibliothek Chemnitz","Der Herr der Ringe das Brettspiel zu J. R. R. Tolkiens",,,"Tolkien, John R. R.","2011",,"Games Herr",,,,,
"Stadtbibliothek Chemnitz","Uluru Tumult am Ayers Rock",,,"Luchau, Lauge","2011",,"Rot Spiele Uluru",,,,,
"Stadtbibliothek Chemnitz","Mieses Karma man lebt nicht nur einmal",,,"Safier, David","2011",,"Blau Spiele Mieses Games Mieses",,,,,
"Stadtbibliothek Chemnitz","Knopf Mau Mau Perds pas la tête!",,,"Meister, Heinz","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das große Tier-Rätsel Tier erkannt? Eigenschaft benannt!",,,"Baars, Gunter","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","ABC-Karussell erstes Lernen ; die Buchstaben von A bis Z",,,"Rüttinger, Michael","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Banana Jump",,,"Gerchambeau, Max","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das große Kullern welches Murmeltier gewinnt den kullerstarken Wettlauf? ; Mit einzigartigem 3D-Kullerhügel!",,,"Schliemann, Jens-Peter","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Molly Mief ...ein turbulentes Schau-genau-Spiel = Smelly Molly = Vaya Tufo",,,"Reindl, Manfred","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monster-Falle Schubs ... und Schwups!",,,"Brand, Inka","2011",,"Rot Spiele Monster",,,,,
"Stadtbibliothek Chemnitz","Schusselhexe",,,"Nikisch, Markus","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bobby Sitter",,,"Courtil, Jean Marc","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Avanti Nase zu und durch",,,"Meister, Heinz","2011",,"Blau Spiele Avanti G 212 Ava",,,,,
"Stadtbibliothek Chemnitz","Krawall vorm Stall wenn Hennen rennen ...",,,"Feldkötter, Michael","2011",,"Rot Spiele Krawa",,,,,
"Stadtbibliothek Chemnitz","Juwelenjagd ...eine schnelle Schatzsuche = Racing for Jewels!",,,"Biella, Herbert","2011",,"Rot Spiele Juwel",,,,,
"Stadtbibliothek Chemnitz","Blockers! Plane! Blocke! Und gewinne! ; clever in 3 Schritten zum Sieg",,,"Heath, Kory","2011",,"Games Block Blau Spiele Block",,,,,
"Stadtbibliothek Chemnitz","Charade das Spiel ohne Wörter",,,,"2011",,"Blau Spiele Chara",,,,,
"Stadtbibliothek Chemnitz","Cluedo eine mörderich gute Party ; entdecken Sie die Geheimnisse!",,,,"[2011]",,"G 212 Clu",,,,,
"Stadtbibliothek Chemnitz","Schlag den Raab das 2. Spiel ; 40 neue Herausforderungen",,,"Kirps, Max","2011",,"G 212 Schla",,,,,
"Stadtbibliothek Chemnitz","Triominos de Luxe",,,,"2011",,"Rot Spiele Triom",,,,,
"Stadtbibliothek Chemnitz","Das große Familien-Quiz mit 6.600 Fragen und Auswahlantworten",,,"Rüttinger, Michael","2011",,"Blau Spiele Große",,,,,
"Stadtbibliothek Chemnitz","Spiel des Wissens Planet Erde ; das Quizspiel für die ganze Familie ; über 2000 Fragen in 2 Schwierigkeitsstufen und 6 Kategorien",,,,"2011",,"G 212 Spi",,,,,
"Stadtbibliothek Chemnitz","Spiel des Wissens das Quizspiel für die ganze Familie ; mit vielen neuen Fragen ; über 2000 Fragen in 2 Schwierigkeitsstufen und 6 Kategorien",,,,"2011",,"Blau Spiele Spiel",,,,,
"Stadtbibliothek Chemnitz","Das große Welt der Wunder Wissensspiel",,,"Schirrmacher, Uwe","[2011]",,"Blau Spiele Grosse",,,,,
"Stadtbibliothek Chemnitz","Activity Countdown",,,"Catty, Paul","2011",,"Games Activ",,,,,
"Stadtbibliothek Chemnitz","Ein Mann, ein Spiel",,,"Casasola Merkle, Marcel-André","2011",,"A 090 Man",,,,,
"Stadtbibliothek Chemnitz","Das Geheimnis von Monte Cristo",,,"Urbon, Arnaud","2011",,"Games Geheimn G 212 Geh",,,,,
"Stadtbibliothek Chemnitz","Fiesling eine Frage des Charakters",,,"Weber, Claudia","2011",,"Games Fiesl",,,,,
"Stadtbibliothek Chemnitz","Der Hobbit",,,"Knizia, Reiner","2011",,"Rot Spiele Hobbit",,,,,
"Stadtbibliothek Chemnitz","Navegador",,,"Gerdts, Mac","[2011]",,"G 212 Nav",,,,,
"Stadtbibliothek Chemnitz","Lern-Spiel-Sammlung",,,,"[2011]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bamboleo",,,"Zeimet, Jacques","[2011]",,"G 212 Bam",,,,,
"Stadtbibliothek Chemnitz","Meine erste Brainbox ABC Was kannst du dir in 10 Sekunden merken? ; [Das rasante Gedächtnisspiel für die ganze Familie]",,,"Vogel, Elke","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Fahrzeuge Das Kindergarten-Wörterspiel ; Spiel dich schlau!",,,"Ballhaus, Hanne","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Würfelmania! 2 Der verrückte Partyspaß",,,,"2011",,"Games Würfel",,,,,
"Stadtbibliothek Chemnitz","Cars 2 Super Race 1000 Kilometer das Spiel mit der Blitzaktion",,,,"2011",,"Rot Spiele Super",,,,,
"Stadtbibliothek Chemnitz","Benjamin Blümchen Berufe-Lotto",,,"Cantzler, Christoph","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Maulwurf und sein Lieblingsspiel",,,"Miler, Zdeněk","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Auf Beutezug!",,,"Meister, Heinz","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Funny Friends - Duo",,,"Welz, Christine","2011",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Siedler von Catan Aufbruch der Händler",,,"Teuber, Klaus","2011",,"Blau Spiele Siedler",,,,,
